Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-60766-7777-6,127.0.0.1,60766,127.0.0.1,7777,6,20/04/2026 07:30:07 PM,2305,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,354880.694143167,7809.110629067244,135.58823529411765,299.51795831459117,983.0,6.0,2305.0,135.58823529411765,299.51795831459117,983.0,6.0,0,0,0,0,0,0,0,0,0,592,0,7809.110629067244,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,813930,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134079340778E15,494.5829356129142,1.776713407934424E15,1.77671340793314E15,NeedManualLabel
127.0.0.1-127.0.0.1-60756-7777-6,127.0.0.1,60756,127.0.0.1,7777,6,20/04/2026 07:30:10 PM,103,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,19417.47572815534,103.0,0.0,103.0,103.0,103.0,103.0,0.0,103.0,103.0,0,0,0,0,0,0,0,0,0,64,0,19417.47572815534,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,260,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-45798-7777-6,127.0.0.1,45798,127.0.0.1,7777,6,20/04/2026 07:30:13 PM,1846,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,443120.26002166845,9750.812567713976,108.58823529411765,246.87903384641876,883.0,6.0,1846.0,108.58823529411765,246.87903384641876,883.0,6.0,0,0,0,0,0,0,0,0,0,592,0,9750.812567713976,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,1128275,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134139336825E15,357.3635470750296,1.776713413933935E15,1.776713413933002E15,NeedManualLabel
127.0.0.1-127.0.0.1-50308-7777-6,127.0.0.1,50308,127.0.0.1,7777,6,20/04/2026 07:30:19 PM,2219,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,368634.5200540784,8111.76205497972,130.52941176470588,304.9569882883197,1163.0,8.0,2219.0,130.52941176470588,304.9569882883197,1163.0,8.0,0,0,0,0,0,0,0,0,0,592,0,8111.76205497972,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,1073490,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134199341432E15,381.18973039709647,1.776713419934419E15,1.7767134199334E15,NeedManualLabel
127.0.0.1-127.0.0.1-50310-7777-6,127.0.0.1,50310,127.0.0.1,7777,6,20/04/2026 07:30:25 PM,1827,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,447728.5166940339,9852.216748768473,107.47058823529412,250.00102940964533,883.0,5.0,1827.0,107.47058823529412,250.00102940964533,883.0,5.0,0,0,0,0,0,0,0,0,0,592,0,9852.216748768473,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,1097986,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134259330882E15,358.7735872799337,1.776713425933339E15,1.776713425932422E15,NeedManualLabel
127.0.0.1-127.0.0.1-42674-7777-6,127.0.0.1,42674,127.0.0.1,7777,6,20/04/2026 07:30:31 PM,1963,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,416709.1186958737,9169.638308711157,115.47058823529412,279.9564960951654,1099.0,6.0,1963.0,115.47058823529412,279.9564960951654,1099.0,6.0,0,0,0,0,0,0,0,0,0,592,0,9169.638308711157,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,1321486,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134319331085E15,309.8346166918564,1.776713431933334E15,1.776713431932502E15,NeedManualLabel
127.0.0.1-127.0.0.1-42680-7777-6,127.0.0.1,42680,127.0.0.1,7777,6,20/04/2026 07:30:37 PM,2503,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,326807.8306032761,7191.370355573312,147.23529411764707,361.6959236381723,1394.0,8.0,2503.0,147.23529411764707,361.6959236381723,1394.0,8.0,0,0,0,0,0,0,0,0,0,592,0,7191.370355573312,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,976133,1,45,0,0,33280,0,7,32,0,0,0,0,1.776713437933405E15,410.5890727775582,1.776713437933698E15,1.776713437932625E15,NeedManualLabel
127.0.0.1-127.0.0.1-41062-7777-6,127.0.0.1,41062,127.0.0.1,7777,6,20/04/2026 07:30:43 PM,2388,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,342546.0636515913,7537.688442211055,140.47058823529412,339.10841143487187,1279.0,7.0,2388.0,140.47058823529412,339.10841143487187,1279.0,7.0,0,0,0,0,0,0,0,0,0,592,0,7537.688442211055,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,950058,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134439337562E15,415.2398798886019,1.776713443934054E15,1.776713443932978E15,NeedManualLabel
127.0.0.1-127.0.0.1-52880-7777-6,127.0.0.1,52880,127.0.0.1,7777,6,20/04/2026 07:30:49 PM,2476,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,330371.56704361876,7269.789983844911,145.6470588235294,345.7412220824396,1272.0,8.0,2476.0,145.6470588235294,345.7412220824396,1272.0,8.0,0,0,0,0,0,0,0,0,0,592,0,7269.789983844911,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,856544,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134499334505E15,455.61148835912,1.776713449933777E15,1.776713449932606E15,NeedManualLabel
127.0.0.1-127.0.0.1-52888-7777-6,127.0.0.1,52888,127.0.0.1,7777,6,20/04/2026 07:30:55 PM,2363,18,0,818.0,0.0,547.0,0.0,45.44444444444445,132.8653552073643,0,0,0,0,346170.1227253491,7617.43546339399,139.0,318.03851967961367,1161.0,7.0,2363.0,139.0,318.03851967961367,1161.0,7.0,0,0,0,0,0,0,0,0,0,592,0,7617.43546339399,0.0,0.0,547.0,43.05263157894737,129.5421311492522,16781.16374269006,1,2,0,7,17,0,0,0,0.0,45.44444444444444,45.44444444444444,0.0,0,0,0,0,7,923250,1,45,0,0,33280,0,7,32,0,0,0,0,1.7767134559340005E15,443.96196545249774,1.776713455934313E15,1.776713455933147E15,NeedManualLabel
